Designator,Footprint,Quantity,Value,LCSC Part #
H1,MountingHole_3.2mm_M3,1,MountingHole,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,IN1,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,IN2,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,CV1,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,CV2,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,CV3,
J8,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Female,
J9,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,1,OUT,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,680,
R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,150K,
"R29, R30, R32, R33",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,4,100K,
R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,120K,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1K,
RV4,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,Freq 10K Lin,
"RV5, RV6",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,2,INPUT LEVEL 50K Log,
RV7,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,Ctrl LEVEL 50K Lin,
RV8,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,Emphasis 50K antilog,
