Designator,Mid X,Mid Y,Rotation,Layer
J3,40.32,-125.02,0.0,top
J4,29.23,-125.02,0.0,top
J5,29.23,-109.34,0.0,top
J6,40.32,-109.34,0.0,top
J7,51.3,-109.34,0.0,top
J8,24.5,-63.68,180.0,bottom
J9,51.3,-125.02,0.0,top
R27,31.145,-77.3,180.0,top
R28,37.445,-61.9,180.0,top
R29,31.145,-69.68,180.0,top
R30,31.145,-65.84,180.0,top
R31,31.145,-62.0,180.0,top
R32,29.055,-81.1,0.0,top
R33,35.28,-81.2,0.0,top
R34,29.055,-73.52,0.0,top
RV4,28.5,-58.05,90.0,top
RV5,47.1,-96.8,90.0,top
RV6,28.5,-96.545,90.0,top
RV7,37.82,-77.525,90.0,top
RV8,47.1,-58.05,90.0,top
